ID,TEXT,CREATED_AT,RETWEET_COUNT,FAVOURITE_COUNT,CATEGORY,SENTIMENT
1468368405879300098,b'BREAKING:\xc2\xa0Federal judge blocks Biden's last remaining COVID vaccine mandate rule on contractors: Warns would have 'vast economic and political significance'',Tue Dec 07 23:54:43 +0000 2021,2225,13355,r,n
1468369270988058624,b'I performed this test on a child with autism in front of the pharmacy today. His mother wanted him tested because 'he had a cold'. This child has COVID. This child could have infected his whole class had his mother not PAID for this test. https://t.co/ZRbv9SLdhF',Tue Dec 07 23:58:09 +0000 2021,844,3078,o,n
1468368801720795137,"b'Thanks to a court order from a federal judge, the FDA reluctantly releases internal data revealing Pfizer's vaccine killed more than 1,200 people in the first 90 days https://t.co/nmjXvzOCe1'",Tue Dec 07 23:56:17 +0000 2021,712,932,a,n
1468369625624756226,b'Just wanna point out the fact that Envy had a player with covid and knowing that no one can judge their performance here. Im pretty confident they are the best NA team',Tue Dec 07 23:59:34 +0000 2021,409,17647,a,p
1468730589490696202,"b'Easy to see why Omicron\'s reportedly mild virulence and rapid transmissibility would be received as 'not good news' by Pfizer CEO Albert Bourla, who is currently pushing a fourth booster https://t.co/eUO4HMG6wq'",Wed Dec 08 23:53:54 +0000 2021,192,628,c,n
1468363195207532544,b'Pop quiz: Do the mRNA therapeutics being marketed as 'vaccines' by Pfizer and Moderna include the traditional model of vaccination that entails killed or weakened viruses?\n\nPlease answer below.',Tue Dec 07 23:34:01 +0000 2021,186,1037,a,nu
1468369438088986624,"b'Omicron does not appear to cause more severe disease than previous COVID-19 variants, and is 'highly unlikely' to fully dodge vaccine protections, a top WHO official says. https://t.co/rcTD7dtHYa'",Tue Dec 07 23:58:49 +0000 2021,129,262,a,p
1468369438088986624,"b'Omicron does not appear to cause more severe disease than previous COVID-19 variants, and is 'highly unlikely' to fully dodge vaccine protections, a top WHO official says. https://t.co/rcTD7dtHYa'",Tue Dec 07 23:58:49 +0000 2021,129,262,a,nu
1468005915781734400,b'\xf0\x9f\x9a\xa8BREAKING REPORT: Males under 30 should no longer take Moderna injections due to myocarditis risk -  Canada's National Advisory Committee on Immunization',Mon Dec 06 23:54:19 +0000 2021,120,213,a,nu
1468358409707790339,b'Pennsylvania Teacher And Board Member For The Nation's Largest Teachers' Union Says Those With Religious Exemptions From Vax Should Die Or Be Shot https://t.co/qEWn84rUvV',Tue Dec 07 23:15:00 +0000 2021,119,402,a,n
1468365379592495112,"b'12 days into the vaccination campaign for 5-11 year olds, and the Minister of Education still has not tweeted support or visited a clinic.\n\nThe antivax vote must be polling strong in King-Vaughan.\n#onted'",Tue Dec 07 23:42:42 +0000 2021,107,751,p,n
1467974630711377923,"b'Sarah Gilbert, one of the creators of the Oxford-AstraZeneca vaccine said that countries must prepare themselves, as this pandemic will not be the last https://t.co/gApRGjeHuo https://t.co/OygJZ4gdSy'",Mon Dec 06 21:50:00 +0000 2021,89,158,a,n
1468731844178980874,"b'Does the news from Pfizer that 3, much more than 2, doses of their vaccine protect against omicron suggest that the definition of fully vaccinated should change? Yes\xe2\x80\x94and this is yet another reason to urge all Americans to get see boosters as essential &amp; urgent. @AnaCabrera https://t.co/T3pI82HRoy'",Wed Dec 08 23:58:54 +0000 2021,81,431,o,p
1468362701407760385,"b'Thousands of active-duty service members have failed to comply with the Biden admin.'s Covid-19 vaccine mandate, raising the prospect that they will be forced to leave their positions or the military altogether. https://t.co/DxEVHcuias'",Tue Dec 07 23:32:03 +0000 2021,61,251,r,n
1468361077901590530,"b'We announced today the first case of the Omicron Variant in Illinois was found in a vaccinated Chicagoan. \n\nWhile we're still learning more about Omicron, we know how to fight the spread. Get vax'd &amp; boosted, get tested, social distance, mask indoors, and wash your hands. https://t.co/bDEEHEKECA'",Tue Dec 07 23:25:36 +0000 2021,45,94,o,p
1468368537488134147,b'The military vax mandate is still in full effect.  \n\nPray that some court will stop it.',Tue Dec 07 23:55:14 +0000 2021,40,324,r,n
1468364062581006339,"b'MPP Belinda @BKarahalios, recovered from #Covid19, tested NEGATIVE, ousted from Ontario Legislature over vaccination status.\n\n#StopTheMadness \n\n#IstandWithBelinda https://t.co/BlECshZhhY'",Tue Dec 07 23:37:28 +0000 2021,38,78,r,n
1468368763972116480,"b'The study validates the importance of vaccination: 'The research also suggests that people who were previously infected and then vaccinated, or people who\xe2\x80\x99ve had boosters, should maintain greater levels of protection even against Omicron.' https://t.co/QADId7hd7V via @statnews'",Tue Dec 07 23:56:08 +0000 2021,36,102,a,nu
1468367513704566785,b'Soon the hammer will drop for the vaxed and unvaxed alike. Those who enthusiastically cheered on our loss of freedoms are in for a rude awakening. Your vax status means nothing to them.',Tue Dec 07 23:51:10 +0000 2021,32,123,c,n
1467997985611010048,"b'Tacoma Twitter! If you need your booster shot, Lincoln Pharmacy has J&amp;J, Pfizer, and Moderna and works on walk in appointments.\nTook me ~10 to be in and done!'",Mon Dec 06 23:22:48 +0000 2021,31,92,e,nu
1468368844582498306,b'VICTORY! \n\nThe @UofAlabama has canceled it\xe2\x80\x99s vaccine mandate for all employees! \xf0\x9f\x91\x8f\xf0\x9f\x94\xa5 https://t.co/CpWSkpyo9j',Tue Dec 07 23:56:28 +0000 2021,27,113,r,n
1468369412679880704,b'God [who created the people who developed the vaccine]: WTF? https://t.co/19XhwH9m18',Tue Dec 07 23:58:43 +0000 2021,25,327,o,nu
1468369274456707077,"b'Fully vaxed and boosted Chicago resident tests positive for Covid-Omicron, isn\xe2\x80\x99t hospitalized, &amp; the Mayor wants everyone to get fully vaxed and boosted. \n\nNow I get the new strategy: \xe2\x80\x9cWoulda been worse\xe2\x80\x9d \xf0\x9f\x99\x84 https://t.co/ezgFkNaZPb'",Tue Dec 07 23:58:10 +0000 2021,23,237,a,n
1468362398230843394,"b'If Biden vax mandate goes into effect, Whitmer admin has to decide how to implement it for state workers. It can either require vaccines or do a vax-or-test requirement. (Michigan is a 'state plan' OHSA state, so governments are subject to it, not just businesses/nonprofits)'",Tue Dec 07 23:30:51 +0000 2021,23,133,r,nu
1468363733097451521,b'NEWS??? \xf0\x9f\x99\x84 - 'There\xe2\x80\x99s not going to be an endpoint to this vaccination program\xe2\x80\x9d  Where\xe2\x80\x99s the Therapeutics!!! Stop the lies!!\xf0\x9f\x87\xba\xf0\x9f\x87\xb8',Tue Dec 07 23:36:09 +0000 2021,23,44,c,n
1468006525985861637,"b'Actual report says that myocarditis is very rare, typically resolves quickly, and so Pfizer is *preferred* (not that Moderna shouldn't be given) since it doesn't even have this issue. And the general guidance remains that all over 12 should get vaccinated. https://t.co/fVjnxzfbG2 https://t.co/zBZBkwllJD'",Mon Dec 06 23:56:44 +0000 2021,22,97,a,nu
1468004098373042177,b'\xf0\x9f\x9a\xa8BREAKING REPORT: Males under 30 should no longer take Moderna injections due to risk myocarditis -  Canada's National Advisory Committee on Immunization',Mon Dec 06 23:47:05 +0000 2021,20,39,a,nu
1468362428559736836,b'#India #vaccination \n\nThe difference between how China's Communist Party treats the world and how Incredible India views Humanity https://t.co/qYfajhEbFq',Tue Dec 07 23:30:58 +0000 2021,18,36,p,n
1467969385906253826,b'Pfizer accused of funding lies about AstraZeneca's jab https://t.co/0WSTRSfKFs via @MailOnline',Mon Dec 06 21:29:09 +0000 2021,17,28,a,n
1468367540544024579,b''wHy hAsN\'T joE BiDEn eNdEd tHE pAnDeMIc?'\nhttps://t.co/nkdxx5MkcY',Tue Dec 07 23:51:17 +0000 2021,17,66,o,n
1468357090414665732,"b'If you believe governments worldwide aligned for the first time in history, applying identical lockdowns, masks, tests, social distancing, restrictions, vax &amp; vax passports in record time to save society, you\xe2\x80\x99re not only a fool you\xe2\x80\x99re collateral damage to the new world order.'",Tue Dec 07 23:09:45 +0000 2021,16,41,c,n
1468361403753025541,"b'Today, we unveiled a new illuminated #TeamToronto pink bandage added to the Toronto Sign at Nathan Phillips Square.\n\nAs the symbol of the City\xe2\x80\x99s vaccination campaign, this illustrates our incredible progress to date and continued commitment to getting residents vaccinated. https://t.co/dbDjyuj8WN'",Tue Dec 07 23:26:54 +0000 2021,16,139,a,p
1468369391721009158,"b'With the winter surge upon us we're opening every door of opportunity, including additional vaccine sites, so NH residents can take proactive steps to stay healthy.\n\nThese 4 new locations offer walk-ins with no appointment needed! Learn more at https://t.co/WP432PHkcE. https://t.co/hMXIpuFbEB'",Tue Dec 07 23:58:38 +0000 2021,16,54,a,nu
1468364244760604681,b'Industry leaders worry vaccine mandates will:\n\xe2\x96\xaa\xef\xb8\x8fundermine voluntary incentives\n\xe2\x96\xaa\xef\xb8\x8fnot significantly impact vaccination rates\n\xe2\x96\xaa\xef\xb8\x8fbe costly/difficult to enforce\n\xe2\x96\xaa\xef\xb8\x8fcause worker/employer uncertainty\n\nMore from today's roundtable with T&amp;I Republicans: https://t.co/SQDmyXtua2 https://t.co/c643n4w02K',Tue Dec 07 23:38:11 +0000 2021,15,35,a,n
1468364489695408129,"b'https://t.co/bWmZH9f4kc 'By tracking the evolutionary trajectories of vax-resistant mutations in more than 2.2 million SARS-CoV-2 genomes, we reveal that the occurrence and frequency of vaccine-resistant mutations correlate strongly with the vax rates in Europe and America.''",Tue Dec 07 23:39:09 +0000 2021,14,26,a,n
1468360214629924864,"b'Not much reassurance that as bad as lab evidence of Pfizer vax antibody coverage of Omicron may be, prolly Delta 'natural immunity' even worse- since that\'s likely what gave us Omicron.'",Tue Dec 07 23:22:10 +0000 2021,14,127,o,p
1468006093980942340,b'\xe2\x80\x9cIt seems likely that the Omicron variant is going to make a dent in our vaccine\xe2\x80\x99s efficacy.\xe2\x80\x9d\n\n@Moderna_TX President Stephen Hoge said there is a risk that existing #Vaccines against #COVID19 may struggle in their effectiveness against the #OmicronVariant. https://t.co/VEmayRNGdh',Mon Dec 06 23:55:01 +0000 2021,14,24,a,n
1468367766935715845,"b'So if he courts keep striking down Joe Biden\'s vax mandates, how can public venues require vaccines? If you are open to the 'public', seems to me you can\'t discriminant.'",Tue Dec 07 23:52:11 +0000 2021,13,43,r,n
1468367767720153091,b'All we need is a rebranding campaign. Plant-based and alkaline vaccines would be a hit with the anti vax crowd https://t.co/IaLoYD9YCQ',Tue Dec 07 23:52:11 +0000 2021,12,14,o,p
1468360908074323968,"b'How do we motivate people who don't care about the pandemic &amp; other human beings to Mask, Vax, Distance?\nMy answer: If you have a medical emergency right now I will try my damndest to help you. But you may end up on a gurney in a hallway waiting because it's a freakin' pandemic.'",Tue Dec 07 23:24:55 +0000 2021,12,128,e,n
1468357596360806400,"b'I don't care your Party, religion, race, or gender, what I care about is what's happening to America. Many are losing jobs over COVID vax, yet thousands are crossing our borders and many are infected with COVID. How does it make sense that we are losing jobs and COVID spreads?'",Tue Dec 07 23:11:46 +0000 2021,11,59,r,n
1468363738038345731,b'Nearly every paper tomorrow talking about the worrying news about vaccine escape and it\xe2\x80\x99s high transmissibility. Has no one yet joined up the dots that under 16\xe2\x80\x99s have mostly had one or no vaccination and zero mitigation or vaccination for under 12\xe2\x80\x99s. https://t.co/92lIdUcubS',Tue Dec 07 23:36:10 +0000 2021,11,29,c,n
1468368331312828417,b'The union for L.A. County sheriff\'s deputies says the Board of Supervisors 'lacks legal authority' to suspend or fire them for not complying with the county\'s vaccine mandate https://t.co/wqnQWacUAG',Tue Dec 07 23:54:25 +0000 2021,11,50,r,nu
1468367483698483203,b'And just like that we are one step closer to Chinese social credit system  - all this will be linked to the \xe2\x80\x9cvax passports\xe2\x80\x9d \n\nPlease wake up - for our kids \xf0\x9f\x98\xa2\xf0\x9f\x98\xa2 #WakeUp https://t.co/RBqME4yRMd',Tue Dec 07 23:51:03 +0000 2021,10,23,c,n
1468363811728113667,b'IMAGINE getting the vax to travel just to be told you still have to quarantine when coming back to Canada. Are you clownpilled yet?',Tue Dec 07 23:36:28 +0000 2021,10,44,e,n
1468000974950313985,"b'Watching Prof Sarah Gilbert giving the Richard Dimbleby Lecture on the development of the AstraZeneca vaccine. So impressive. A long, detailed lecture (without notes Boris). What a woman. What a brain. https://t.co/vYlPd5Ankm'",Mon Dec 06 23:34:41 +0000 2021,9,36,o,p
1468361196348723201,b'Been offered my first fake vax pass. \n\nDeclined for two reasons:\nI'm not a naughty boy\nAnd I refuse to play into their control system',Tue Dec 07 23:26:04 +0000 2021,9,137,e,nu
1468363391676911616,b'First piece of hard news developing here in Hamilton ahead of the #GreyCup.\n\n#Bombers O-lineman Tui Eli has been placed on the suspended list \xe2\x80\x94 presumed to be the Winnipeg player not able to travel due to Covid-19 protocols/vaccination.\nMike O\xe2\x80\x99Shea will address Wednesday.',Tue Dec 07 23:34:48 +0000 2021,9,26,r,n
1468362184853897216,b'The Data Proves Your Vaccination Decision Impacts Only You\n'Whether you\'re #vaccinated or not is primarily a risk to yourself individually. I think it starts to shift some of the conversation.' - @ClayTravis #VaccineMandates #covid\nhttps://t.co/kRpWrH67Vs',Tue Dec 07 23:30:00 +0000 2021,9,18,c,nu
1468002315512815618,"b'Where other COVID-related #ML algorithms failed, Moderna focused first on structuring and preparing its data. \n\nAccording to our survey, 39% of a #DataScientists job is data wrangling and cleaning to ensure quality outputs. @TechRepublic @mjasay https://t.co/bZ5FhfRrc4'",Mon Dec 06 23:40:00 +0000 2021,9,11,a,nu
